uniq_id,score,product_name,image_url
5614ccefd0ab9bee5cd28bf3d38fd12f,1.3,Vishudh Printed Women's Straight Kurta,https://drive.google.com/file/d/18IvOjhYu0UmJYZ5vL_7WgwiazJmkzkls/view?usp=share_link
aff8be089d14317011f1cc3eba810b6d,3.6,MASARA Solid Women's Straight Kurta,https://drive.google.com/file/d/1OpMLTySeoGQk-Vg167LqtvP22D-Cn67h/view?usp=share_link
b75e9fbc54e49dcee551709bd63e243c,1.5,MASARA Solid Women's Straight Kurta,https://drive.google.com/file/d/1wrjXouVzsD4YCzlrZwVBz_aV4nB710XG/view?usp=share_link
d620fa0d35825bb3c0717e9d3446cc97,3.2,Roadster Men's Zipper Solid Cardigan,https://drive.google.com/file/d/1SS0TxohE5ou4g0AEFBkbSOP56p2eVjO4/view?usp=share_link
ee383a337af67ae8ad4f42714d67ddaf,3.5,Vishudh Printed Women's Straight Kurta,https://drive.google.com/file/d/1eTVWT6diThEPlNQe3bQ-dTUEikHpsKWc/view?usp=share_link
97b8a04ee0c6f158ed18a99cfc2bd6ed,1.2,Noor Embroidered Women's Straight Kurta,https://drive.google.com/file/d/1Y0CSBy8E9jTH6uzfeSr-G1UibtEfA_Pc/view?usp=share_link
154968876a45c0e99d35b5d57290d0b3,2.9,MASARA Solid Women's Straight Kurta,https://drive.google.com/file/d/1fr1cudA0OUx6qDXVd3Z6ItfFlC6qTD_J/view?usp=share_link
0305111c779fe663bd94122bef0f0002,3.7,Vishudh Printed Women's Straight Kurta,https://drive.google.com/file/d/1aD_UNLYmWZ34xnmlpcNqX6Yeh-MR1oKD/view?usp=share_link
80993e88a0224c71617e37dcd1e17745,4.6,Libas Printed Women's A-line Kurta,https://drive.google.com/file/d/15SQztB_S2saYIvzQu6_2szHLuTYtyWJG/view?usp=share_link
f3ff4d066fa5290970f46762caa5c73a,1.9,Libas Printed Women's Anarkali Kurta,https://drive.google.com/file/d/10xZ539w00LMyhF0pqfDEbpMEi88_0jzr/view?usp=share_link
fabe2ce4a6b7510fa1bac6922156ab7b,2,MASARA Solid Women's Straight Kurta,https://drive.google.com/file/d/1xBhyAzUeEGFxiMlgTe9bcBgJxV5GRpXG/view?usp=share_link
9ec7cf78ff9e728bf1d7eb6609f42188,1,HRS ULTIMATE BOY Chest Pads,https://drive.google.com/file/d/15EBdhDTE4PVwvGaEo8HLSBGa4j2ma-dv/view?usp=share_link
7a7e587d3344885bdb8c77f8b7679483,2,Vermello Men Casual Brown Genuine Leather Belt,https://drive.google.com/file/d/1LX1jBwSoY6LJyaTsN6l3FL4Uda9P5f8u/view?usp=share_link
c497e4250ea07a8a87efa8fda01ae6e0,3,HRS CLUB BOY Thigh Pads,https://drive.google.com/file/d/1g3MJWiOakQ1wgRO05vEnHWz3-o8BuTWu/view?usp=share_link
7db2acfee8298ef8c687d688147c69be,4.1,Ligans NY Men Formal Black Genuine Leather Belt,https://drive.google.com/file/d/18IvOjhYu0UmJYZ5vL_7WgwiazJmkzkls/view?usp=share_link
